tick,team0_fighters,team1_fighters,team2_fighters,team3_fighters,team4_fighters,team5_fighters,cursor0_x,cursor0_y,cursor1_x,cursor1_y,cursor2_x,cursor2_y,cursor3_x,cursor3_y,cursor4_x,cursor4_y,cursor5_x,cursor5_y,area_w,area_h,army_size
2,1225,1225,1225,1225,1225,1225,33,48,101,51,165,50,32,149,98,148,168,153,200,200,7350
22,1225,1225,1225,1225,1225,1225,41,57,110,59,167,63,43,140,108,135,168,163,200,200,7350
42,1225,1225,1225,1225,1225,1225,61,77,130,60,181,81,62,143,108,115,150,177,200,200,7350
62,1225,1230,1220,1225,1225,1225,81,81,149,52,186,101,82,147,109,95,130,187,200,200,7350
82,1225,1244,1206,1233,1217,1225,99,73,149,52,184,121,93,151,115,75,110,189,200,200,7350
102,1226,1258,1191,1254,1196,1225,112,67,163,54,184,141,93,151,105,61,90,190,200,200,7350
122,1232,1278,1168,1293,1154,1225,112,67,163,55,187,142,93,151,114,70,72,188,200,200,7350
142,1248,1295,1147,1327,1108,1225,130,53,175,44,187,122,99,152,129,90,70,170,200,200,7350
162,1262,1301,1134,1342,1085,1226,150,56,175,42,188,102,119,148,123,110,82,156,200,200,7350
182,1274,1331,1110,1346,1059,1230,164,56,171,53,176,82,139,141,128,130,87,154,200,200,7350
202,1291,1340,1084,1371,1034,1230,164,56,153,61,160,62,154,157,144,145,101,142,200,200,7350
222,1287,1304,1124,1355,1035,1245,164,56,134,72,140,55,147,165,162,161,118,126,200,200,7350
242,1260,1305,1150,1374,948,1313,154,55,129,82,138,57,147,165,148,146,110,138,200,200,7350
262,1285,1232,1198,1316,922,1397,134,61,122,102,138,57,152,151,130,135,109,150,200,200,7350
282,1241,1265,1209,1293,889,1453,137,60,126,116,138,57,134,144,126,115,109,151,200,200,7350
302,1273,1191,1252,1271,858,1505,132,41,126,116,138,57,134,144,131,95,103,162,200,200,7350
322,1274,1150,1290,1245,858,1533,134,39,125,114,138,57,130,130,139,75,95,149,200,200,7350
342,1293,1062,1333,1181,877,1604,132,45,122,100,138,57,124,116,144,61,95,148,200,200,7350
362,1271,964,1400,1146,936,1633,132,48,133,89,139,61,124,116,144,61,95,148,200,200,7350
382,1268,892,1413,1138,991,1648,127,59,137,83,152,73,124,115,144,61,95,148,200,200,7350
402,1309,814,1418,1095,1028,1686,129,47,131,64,148,72,108,95,144,61,95,154,200,200,7350
422,1367,661,1481,1069,1046,1726,125,39,135,57,128,63,100,87,144,61,99,160,200,200,7350
442,1347,564,1532,1124,1068,1715,130,46,136,56,119,69,100,87,140,65,106,140,200,200,7350
